date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:06	374016/374016	---MCZ	200	added ('OK')	text/html	etag:W/%22feb2011f2f4fb9a967475e69cb206374%22	https://nikkhaharman.wixsite.com/resume	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/resume.html	(from )
08:45:06	322/322	---M--	200	added ('OK')	text/plain	date:Fri,%2007%20Oct%202022%2005:15:06%20GMT	https://nikkhaharman.wixsite.com/robots.txt		(from )
08:45:08	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:08	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:09	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2005%20Oct%202022%2007:16:57%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/Arman/Desktop/My%20resume/My%20resume/polyfill.io/v3/polyfill.mind82c.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:10	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:09%20GMT	https://nikkhaharman.wixsite.com/decodeURIComponent(e	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/decodeURIComponent(e	(from https://nikkhaharman.wixsite.com/resume)
08:45:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:10%20GMT	https://nikkhaharman.wixsite.com/sitemap.xml	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/sitemap.xml	(from https://nikkhaharman.wixsite.com/resume)
08:45:11	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:10%20GMT	https://nikkhaharman.wixsite.com/feed.xml	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/feed.xml	(from https://nikkhaharman.wixsite.com/resume)
08:45:11	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:10%20GMT	https://nikkhaharman.wixsite.com/t	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/t	(from https://nikkhaharman.wixsite.com/resume)
